category,subcategory,question,content
faq,comprar-passagem,Gratuidades e Meia Tarifa,"Descontos e gratuidades para estudantes, idosos e outras categorias previstas em lei, são aplicados apenas às empresas que operam o serviço público de transporte de passageiros, ou seja, aquelas que executam linhas regulares, comumente presentes nos terminais rodoviários.A Buser é uma plataforma de fretamento colaborativo, serviço privado, em que o valor das viagens é dividido pelos passageiros, por isso todos precisam pagar pelo valor cheio das reservas."
faq,conta-e-dados,Exclusão de dados pessoais,"Se por algum motivo você deseja excluir as suas informações pessoais da nossa base de dados, pedimos que preencha esse formulário com os mesmos dados informados no momento do seu cadastro.É importante que você saiba que alguns dados poderão ser mantidos para finalidades legais, e após a confirmação da sua solicitação, o prazo de atendimento via e-mail é de até 15 dias.Para saber mais sobre como tratamos os seus dados, confira a nossa política de privacidade."
faq,conta-e-dados,Cadastro e recuperação de senha,"Para se cadastrar: clique em “Entrar ou Cadastrar” na parte superior direita da tela, escolha a forma de cadastro desejada e preencha com os dados solicitados.Para recuperar a sua senha: se você esqueceu a sua senha de acesso, você pode recuperá-la pelo e-mail, telefone ou CPF cadastrados na sua conta. Basta inserir uma dessas informações na hora de fazer o login e clicar em “esqueci minha senha” - você receberá um e-mail ou um SMS com instruções para redefini-la."
faq,conta-e-dados,Perdi acesso ao meu email e telefone,"Se você não tem mais acesso ao seu e-mail ou telefone cadastrados e precisa recuperar a sua senha ou acessar a sua conta, entre em contato com a nossa equipe de experiência do cliente pelo chat ou e-mail, disponíveis no final da página da Central de Ajuda. Pedimos que explique a situação e nossa equipe passará as orientações necessárias para comprovar os seus dados e recuperar a sua conta."
faq,promocoes,Programa de Fidelidade,"O que é o programa de fidelidade BuserO Buser Fidelidade é um programa que recompensa os clientes que viajam com frequência pela Buser. Cada objetivo do Fidelidade possui regras e recompensas próprias e podem variar de acordo com a sua localização e com a disponibilidade da plataforma.Regras do programa de FidelidadeTodos os objetivos do Buser Fidelidade possuem data de validade, isso significa que caso o objetivo não tenha sido concluído dentro do prazo o progresso será perdido e o objetivo pode ficar indisponível no site e app.Sempre que um objetivo for concluído, um cupom será disponibilizado na conta de acordo com as regras de cada objetivo. Os cupons disponibilizados também possuem validade para serem utilizados e podem ser consultados na página de cupons do perfil logado do usuário do site."
faq,atraso-e-problemas-na-viagem,Meu ônibus ainda não chegou,"Trânsito, chuva e outros fatores externos podem causar atrasos na viagem. Se isso acontecer, iremos te avisar com o máximo de antecedência possível, através dos nossos canais oficiais de comunicação.Caso o atraso da sua viagem for maior que 30 minutos, nosso time de experiência do cliente está 24h à disposição pelo chat, disponível no final da página da Central de Ajuda. "
faq,promocoes,Como ativar um cupom,"Se você teve algum problema durante a sua viagem e gostaria de conversar sobre a possibilidade de um reembolso, pedimos que entre em contato com o nosso time de experiência do cliente pelo chat, localizado no final da página da Central de Ajuda."
faq,comprar-passagem,Viajar com crianças,"Vai viajar com uma criança? Se atente às regras a seguir: Menores de idade pagam o valor integral da viagem: Colocamos a segurança em primeiro lugar! Por esse motivo, é necessário realizar a reserva para menores de idade também.Crianças devem viajar em assento individual, utilizando o cinto de segurança - não é permitido viajar no colo de pais ou responsáveis.Para viagens com bebês de até 1 ano e 5 meses: é obrigatório utilizar uma cadeirinha bebê conforto A partir de 16 anos pode viajar sem acompanhante e sem autorização dentro do território nacional, desde que estejam portando documento original de identificação, com foto.Exige-se autorização judicial para criança ou adolescente, menor de 16 anos, viajar pelo território nacional, que será dispensada nas seguintes situações:Acompanhado do pai e/ou mãe, maior de 16 anos, ou responsável legal;OU acompanhado de parente, ascendente ou colateral com 18 anos completos, de até terceiro grau (com parentesco comprovado documentalmente)OU acompanhado de pessoa maior de idade com expressa autorização dos genitores ou responsável legal, por meio de escritura pública ou de documento particular com firma reconhecida.A  autorização judicial NÃO isenta a criança ou o adolescente a partir de 12 anos a embarcar com documento oficial com foto.Para mais informações sobre a autorização judicial, dirija-se com antecedência à Vara da Infância e Juventude de sua cidade, a fim de evitar contratempos indesejáveis de última hora. A emissão é feita de forma gratuita por esse órgão.DOCUMENTAÇÃO NECESSÁRIA PARA EMBARQUE Criança até 12 anos: Certidão de nascimento original ou cópia autenticada em cartório (somente a certidão de nascimento da criança possibilita fazer a comprovação direta de parentesco de tios, avós, bisavós e sobrinhos) OU RG (original, com dados e foto legível) OUPassaporte válidoAdolescente maior de 12 anos: RG (original, com dados e foto legível) OUPassaporte válidoAcompanhante da criança/adolescente:RGCarteira Nacional de Habilitação (CNH ou CNH-e)Carteira de trabalho (CTPS - Documento Físico)Carteiras Funcionais (OAB, CRM, CREA, etc...)Passaporte válidoRG Digital SP (válido em todo território nacional)E-Título (somente a versão com foto).Importante: cópias dos documentos serão aceitas desde que sejam autenticadas em cartório. A cópia não autenticada somente terá validade se apresentada juntamente com o documento original.VIAGENS AO EXTERIORPara viagens internacionais de crianças ou adolescentes menores, a autorização judicial é dispensável somente nas seguintes condições:estiverem acompanhados de ambos os pais ou responsável legal;estiverem acompanhados de um dos pais e o outro autorizar a viagem expressamente, em documento com firma reconhecida em cartório;passaporte válido em que conste expressa autorização para que viaje desacompanhado(a) ao exteriorNão será admitida a viagem de criança ou adolescente ao exterior acompanhada de estrangeiro residente ou domiciliado em outro país sem prévia e expressa autorização judicial."
faq,conta-e-dados,Relatório de dados,"Quer solicitar um relatório com seus dados pessoais, cartões e suas preferências de conta? É só preencher esse Formulário e solicitar o Acesso aos Dados.Lembrando que, após a confirmação da sua solicitação, o prazo de atendimento via e-mail é de 15 dias."
faq,promocoes,Promoções ativas,Buser + Livelo: viaje de ônibus com desconto e acumule pontos na Livelo. Clique aqui para conferir o regulamento da promoção.Cartão Pré-Pago Buser/Gift Card: Adquira ou resgate um cartão Presente Buser. Clique aqui para conferir o regulamento da promoção.
